Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Aberchirder,S20001019,Aberchirder,S19001273,Aberdeenshire,S12000034,
"Aberdeen, Settlement of",S20001020,Aberdeen,S19001274,Aberdeen City,S12000033,
"Aberdeen, Settlement of",S20001020,Cove Bay,S19001425,Aberdeen City,S12000033,
"Aberdeen, Settlement of",S20001020,Dyce,S19001490,Aberdeen City,S12000033,
Aberdour,S20001021,Aberdour,S19001275,Fife,S12000015,
Aberfeldy,S20001022,Aberfeldy,S19001276,Perth and Kinross,S12000024,
Aberfoyle,S20001023,Aberfoyle,S19001277,Stirling,S12000030,
Aberlady,S20001024,Aberlady,S19001278,East Lothian,S12000010,
Aberlour,S20001025,Aberlour,S19001279,Moray,S12000020,
Abernethy,S20001026,Abernethy,S19001280,Perth and Kinross,S12000024,
Aboyne,S20001027,Aboyne,S19001281,Aberdeenshire,S12000034,
Airth,S20001028,Airth,S19001284,Falkirk,S12000014,
Alford,S20001029,Alford,S19001286,Aberdeenshire,S12000034,
Allanton,S20001030,Allanton,S19001287,North Lanarkshire,S12000044,
"Alloa, Settlement of",S20001031,Alloa,S19001288,Clackmannanshire,S12000005,
"Alloa, Settlement of",S20001031,Sauchie,S19001827,Clackmannanshire,S12000005,
Almondbank,S20001032,Almondbank,S19001289,Perth and Kinross,S12000024,
Alness,S20001033,Alness,S19001290,Highland,S12000017,
Alva,S20001034,Alva,S19001291,Clackmannanshire,S12000005,
Alyth,S20001035,Alyth,S19001292,Perth and Kinross,S12000024,
Ancrum,S20001036,Ancrum,S19001293,Scottish Borders,S12000026,
Annan,S20001037,Annan,S19001294,Dumfries and Galloway,S12000006,
Annbank,S20001038,Annbank,S19001295,South Ayrshire,S12000028,
Anstruther and Pittenweem,S20001039,Anstruther,S19001296,Fife,S12000015,
Anstruther and Pittenweem,S20001039,Pittenweem,S19001782,Fife,S12000015,
Arbroath,S20001040,Arbroath,S19001297,Angus,S12000041,
Ardersier,S20001041,Ardersier,S19001298,Highland,S12000017,
Ardrishaig,S20001042,Ardrishaig,S19001299,Argyll and Bute,S12000035,
Armadale,S20001043,Armadale,S19001301,West Lothian,S12000040,
Auchenblae,S20001044,Auchenblae,S19001303,Aberdeenshire,S12000034,
Auchinleck,S20001045,Auchinleck,S19001304,East Ayrshire,S12000008,
Auchinloch,S20001046,Auchinloch,S19001305,North Lanarkshire,S12000044,
Auchterarder,S20001047,Auchterarder,S19001306,Perth and Kinross,S12000024,
Auchtermuchty,S20001048,Auchtermuchty,S19001307,Fife,S12000015,
Auldearn,S20001049,Auldearn,S19001308,Highland,S12000017,
Aviemore,S20001050,Aviemore,S19001309,Highland,S12000017,
Avoch,S20001051,Avoch,S19001310,Highland,S12000017,
Avonbridge,S20001052,Avonbridge,S19001311,Falkirk,S12000014,
"Ayr, Settlement of",S20001053,Ayr,S19001312,South Ayrshire,S12000028,
"Ayr, Settlement of",S20001053,Monkton,S19001722,South Ayrshire,S12000028,
"Ayr, Settlement of",S20001053,Prestwick,S19001798,South Ayrshire,S12000028,
Ayton,S20001054,Ayton,S19001313,Scottish Borders,S12000026,
Baile a'Mhanaich (Balivanich),S20001055,Baile a'Mhanaich (Balivanich),S19001314,Na h-Eileanan Siar,S12000013,
Balfron,S20001056,Balfron,S19001315,Stirling,S12000030,
Balintore,S20001057,Balintore,S19001316,Highland,S12000017,
Ballachulish,S20001058,Ballachulish,S19001317,Highland,S12000017,
Ballater,S20001059,Ballater,S19001318,Aberdeenshire,S12000034,
"Ballingry, Lochore and Crosshill",S20001060,"Ballingry, Lochore and Crosshill",S19001319,Fife,S12000015,
Balmedie,S20001061,Balmedie,S19001322,Aberdeenshire,S12000034,
Balmullo,S20001062,Balmullo,S19001323,Fife,S12000015,
Banchory,S20001063,Banchory,S19001325,Aberdeenshire,S12000034,
Banff,S20001064,Banff,S19001326,Aberdeenshire,S12000034,
Bankfoot,S20001065,Bankfoot,S19001327,Perth and Kinross,S12000024,
Barrhead,S20001066,Barrhead,S19001331,East Renfrewshire,S12000011,
"Bathgate, Settlement of",S20001067,Bathgate,S19001332,West Lothian,S12000040,
"Bathgate, Settlement of",S20001067,Blackburn (West Lothian),S19001344,West Lothian,S12000040,
Beauly,S20001068,Beauly,S19001334,Highland,S12000017,
Beith,S20001069,Beith,S19001335,North Ayrshire,S12000021,
Bellsbank,S20001070,Bellsbank,S19001336,East Ayrshire,S12000008,
Biggar,S20001071,Biggar,S19001338,South Lanarkshire,S12000029,
Birkhill and Muirhead,S20001072,Birkhill and Muirhead,S19001340,Angus,S12000041,
Bishopton,S20001073,Bishopton,S19001342,Renfrewshire,S12000038,
Blackburn (Aberdeenshire),S20001074,Blackburn (Aberdeenshire),S19001343,Aberdeenshire,S12000034,
Blackford,S20001075,Blackford,S19001345,Perth and Kinross,S12000024,
Blackridge,S20001076,Blackridge,S19001346,West Lothian,S12000040,
Blairgowrie,S20001077,Blairgowrie,S19001347,Perth and Kinross,S12000024,
Blairhall,S20001078,Blairhall,S19001348,Fife,S12000015,
Bo'ness,S20001080,Bo'ness,S19001351,Falkirk,S12000014,
Boddam,S20001079,Boddam,S19001350,Aberdeenshire,S12000034,
"Bonnybridge, Settlement of",S20001081,Banknock,S19001328,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Bonnybridge,S19001353,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Denny,S19001460,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Dennyloanhead,S19001461,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Dunipace,S19001483,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Greenhill,S19001565,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Haggs and Longcroft,S19001572,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,Head of Muir,S19001579,Falkirk,S12000014,
"Bonnybridge, Settlement of",S20001081,High Bonnybridge,S19001581,Falkirk,S12000014,
